SpecimenCode,Subfamily,Genus,Species,LifeStageSex,Medium,SpecimenNotes,DNANotes,LocatedAt,OwnedBy,TypeStatus,DeterminedBy,DateDetermined,CollectionCode,CollectedBy,DateCollectedStart,DateCollectedEnd,Method,Habitat,Microhabitat,CollectionNotes,LocalityName,Adm1,Adm2,Country,Elevation,ElevationMaxError,LocLatitude,LocLongitude,LatLonMaxError,BiogeographicRegion,LocalityNotes,LocalityCode
casent0005804,myrmicinae,solenopsis,invicta,3w,pin,,,UCDC,"UCDC, Davis, CA, USA",,,10/11/2000,ANTC1213,A.V.Suarez,19/12/1998,,,,,,"Trabuco Canyon, Plano Trabuco Rd.",California,Orange,United States,,,33.65733,-117.57683,,Nearctic,coordinates obtained from GPS,Trabuco Canyon
casent0104503,myrmicinae,solenopsis,invicta,1m,pin,,,ABS,"ABS, Lake Placid, FL, USA",,,09/03/2004,ANTC5110,Mark Deyrup,20/06/1984,,collected in malaise trap,in scrub habitat,,,Archbold Bio. Sta.,Florida,Highlands,United States,,,27.18333,-81.35,,Nearctic,coordinates obtained from Map,Archbold Bio. Sta.
casent0104504,myrmicinae,solenopsis,invicta,"1aQ, 1dQ, 1w",pin,,,ABS,"ABS, Lake Placid, FL, USA",,,09/03/2004,ANTC5111,Lloyd R. Davis,29/11/1991,,,,,,2 mi. S. of Jena on Rt. 361,Florida,Dixie,United States,,,29.63333,-83.36667,,Nearctic,,Jena on Rt. 361
casent0104523,myrmicinae,solenopsis,invicta,3w,pin,,,ABS,"ABS, Lake Placid, FL, USA",,,09/03/2004,ANTC5130,Deyrup & Cover,27/04/1999,,site 27-4,mesic forest,,,Eglin A.F.B.; W. of bridge over Alaqua Ck. on For. Rd. 200,Florida,Walton,United States,,,30.6,-86.16667,,Nearctic,,Eglin A.F.B.; W. of bridge
casent0106587,myrmicinae,solenopsis,invicta,w,pin,,,UCDC,"UCDC, Davis, CA, USA",,,,PSW15954,"Ward, P. S.",30/07/2007,,,coastal dune remant,ground nest,,4km W Gulf Shores,Alabama,Baldwin,United States,5,,30.24167,-87.73667,,Nearctic,coordinates obtained from Label,Gulf Shores 5; 4km W
casent0106587-d01,myrmicinae,solenopsis,invicta,w,dry,,,UCDC,"UCDC, Davis, CA, USA",,,,PSW15954,"Ward, P. S.",30/07/2007,,,coastal dune remant,ground nest,,4km W Gulf Shores,Alabama,Baldwin,United States,5,,30.24167,-87.73667,,Nearctic,coordinates obtained from Label,Gulf Shores 5; 4km W
casent0178134,myrmicinae,solenopsis,invicta,3w,pin,,,ALWC,ALWC,,,31/12/2006,AW1818,A.L. Wild,02/11/2002,12/11/2002,,Shaded lawn,,,San Lorenzo,Central,,Paraguay,62,,-25.3422,-57.5154,,Neotropic,,San Lorenzo 62
casent0178135,myrmicinae,solenopsis,invicta,3w,pin,,,ALWC,ALWC,,,31/12/2006,AW1818,A.L. Wild,02/11/2002,12/11/2002,,Shaded lawn,,,San Lorenzo,Central,,Paraguay,62,,-25.3422,-57.5154,,Neotropic,,San Lorenzo 62
casent0277283,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277283-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277284,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277284-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277285,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277285-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277286,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277286-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277287,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277287-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277288,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277288-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277289,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277289-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277290,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277290-d01,myrmicinae,solenopsis,invicta,w,95% EtOH,,"3, sent for barcoding, Guelph CCDB-16446",CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
casent0277291,myrmicinae,solenopsis,invicta,1w,pin,,DNA voucher,CASC,"CASC, San Francisco, CA, USA",,,,ANTC19022,Mike Martinez,29/11/2010,,,urban garden,,Solenopsis.invicta,Fullerton,California,Orange,United States,,,33.94107,-117.99256,,Nearctic,,Fullerton b
