SpecimenCode,Subfamily,Genus,Species,LifeStageSex,Medium,SpecimenNotes,DNANotes,LocatedAt,OwnedBy,TypeStatus,DeterminedBy,DateDetermined,CollectionCode,CollectedBy,DateCollectedStart,DateCollectedEnd,Method,Habitat,Microhabitat,CollectionNotes,LocalityName,Adm1,Adm2,Country,Elevation,ElevationMaxError,LocLatitude,LocLongitude,LatLonMaxError,BiogeographicRegion,LocalityNotes,LocalityCode
casent0104418,myrmicinae,pheidole,obscurithorax,"1w major, 1w, 1m",pin,,,ABS,"ABS, Lake Placid, FL, USA",,,09/03/2004,ANTC5065,Mark Deyrup,07/07/1992,,,,,,Univ. West Florida,Florida,Escambia,United States,,,30.55,-87.21667,,Nearctic,coordinates obtained from Map,Univ. West Florida
casent0104419,myrmicinae,pheidole,obscurithorax,"1w major, 1w, 1m",pin,,,ABS,"ABS, Lake Placid, FL, USA",,,09/03/2004,ANTC5065,Mark Deyrup,07/07/1992,,,,,,Univ. West Florida,Florida,Escambia,United States,,,30.55,-87.21667,,Nearctic,coordinates obtained from Map,Univ. West Florida
casent0104420,myrmicinae,pheidole,obscurithorax,"1w major, 1w, 1m",pin,,,ABS,"ABS, Lake Placid, FL, USA",,,09/03/2004,ANTC5065,Mark Deyrup,07/07/1992,,,,,,Univ. West Florida,Florida,Escambia,United States,,,30.55,-87.21667,,Nearctic,coordinates obtained from Map,Univ. West Florida
casent0105820,myrmicinae,pheidole,obscurithorax,1w,pin,,,USNM,"USNM, Washington, DC, USA",,,,ANTC7891,E. O. Wilson Jr.,10/09/1949,,,,irregular nest in sand,,Bayfront in urban Mobile,Alabama,,United States,,,,,,Nearctic,,LOC ANTC7891
casent0178041,myrmicinae,pheidole,obscurithorax,"1w major, 2w",pin,,,ALWC,ALWC,,,31/12/2006,AW0488,A.L. Wild,12/03/1997,,,logged bosque alto,,,"Reserva Natural del Bosque Mbaracayú, Jejuimí",Canindeyú,,Paraguay,,,-24.1,-55.533333,,Neotropic,,Jejuimi
casent0178042,myrmicinae,pheidole,obscurithorax,"1w major, 2w",pin,,,ALWC,ALWC,,,31/12/2006,AW0488,A.L. Wild,12/03/1997,,,logged bosque alto,,,"Reserva Natural del Bosque Mbaracayú, Jejuimí",Canindeyú,,Paraguay,,,-24.1,-55.533333,,Neotropic,,Jejuimi
casent0220453,myrmicinae,pheidole,obscurithorax,"1s, 2w",pin,,,PSWC,"PSWC, Davis, CA, USA",,,,PSW13168,P.S. Ward,28/08/1992,,,tropical dry forest,ground nest,,"Fazenda Ipiranga, 14 km S Poconé",Mato Grosso,,Brazil,110,,-16.38333,-56.61667,,Neotropic,coordinates obtained from Label,Fazenda Ipiranga 110
casent0283225,myrmicinae,pheidole,obscurithorax,,destroyed,,,OIST,"OIST, Okinawa, Japan",,,,LRD050304-4,"Lloyd R. Davis, Jr.",05/03/2004,,H,,soil,,Tampa,Florida,Hillsborough,United States,5,,28.05028,-82.42628,0.004 km,Nearctic,,Tampa 5
casent0913311,myrmicinae,pheidole,obscurithorax,1w major,pin,,,NHMB,"NHMB, Basel, Switzerland",Lectotype of Pheidole obscurithorax,,,,,,,,,,,,,,,,,,,,,,
casent0913312,myrmicinae,pheidole,obscurithorax,1w,pin,,,NHMB,"NHMB, Basel, Switzerland",paralectotype of Pheidole obscurithorax,,,,,,,,,,,,,,,,,,,,,,
