"Latin.name","Common.name","Family"
"1","Abisara neophron","White-banded judy","Riodinidae"
"2","Acytolepis puspa","Common hedge blue","Lycaenidae"
"3","Agatasa calydonia","Glorious begum","Nymphalidae"
"4","Aglais io","Peacock","Nymphalidae"
"5","Aglais urticae","Small tortoiseshell","Nymphalidae"
"6","Anthene emolus","Oriental ciliate blue","Lycaenidae"
"7","Anthocharis cardamines","Orange tip","Pieridae"
"8","Apatura iris","Purple emperor","Nymphalidae"
"9","Aphantopus hyperantus","Ringlet","Nymphalidae"
"10","Appias cardena","Malay puffin","Pieridae"
"11","Appias lyncida","Chocolate albatross","Pieridae"
"12","Appias nero","Orange albatross","Pieridae"
"13","Appias paulina","White albatross","Pieridae"
"14","Argynnis aglaja","Dark green fritillary","Nymphalidae"
"15","Arhopala eumolphus","Eumolphus oakblue","Lycaenidae"
"16","Boloria euphrosyne","Pearl-bordered fritillary","Nymphalidae"
"17","Boloria selene","Small pearl-borderd fritillary","Nymphalidae"
"18","Callophrys rubi","Green hairstreak","Lycaenidae"
"19","Catochrysops strabo","Forget-me-not","Lycaenidae"
"20","Catopsilia pomonoa","Lemon emigrant","Pieridae"
"21","Celaenorrhinus cameroni","Dark yellow-banded flat","Hesperiidae"
"22","Cepora nadina","Lesser gull","Pieridae"
"23","Charaxes bernadus","Tawny rajah","Nymphalidae"
"24","Chersonesia rahria","Wavy maplet","Nymphalidae"
"25","Chilades pandava","Cycad blue","Lycaenidae"
"26","Cirrocha emalea","Malay yeoman","Nymphalidae"
"27","Cirrochroa orissa","Banded yeoman","Nymphalidae"
"28","Coenonympha pamphilus","Small heath","Nymphalidae"
"29","Cupido minimus","Small blue","Lycaenidae"
"30","Cyrestis cocles","Marbled mapwing","Nymphalidae"
"31","Cyrestis nivea","Straight line mapwing","Nymphalidae"
"32","Danaus genutia","Common tiger","Nymphalidae"
"33","Dercas gobrias","Squarish yellow","Pieridae"
"34","Doleschallia bisaltidae","Autumn leaf","Nymphalidae"
"35","Drupadia ravindra","Common posy","Lycaenidae"
"36","Elymnias hypermnestra","Common palm fly","Nymphalidae"
"37","Eooxylides tharis","Branded imperial","Lycaenidae"
"38","Erites elegans","Elegant satyr","Nymphalidae"
"39","Erynnis tages","Dingy skipper","Hesperiidae"
"40","Euripus nyctelius","Golden-eye","Nymphalidae"
"41","Euthalia monina","Malay baron","Nymphalidae"
"42","Everes lacturnus","Oriental short-tailed blue","Lycaenidae"
"43","Gonepteryx rhamni","Common brimstone","Pieridae"
"44","Graphium agamemnon","Tailed jay","Papilionidae"
"45","Graphium antiphates","Five-bar swordtail","Papilionidae"
"46","Graphium sarpedon","Common bluebottle","Papilionidae"
